epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,10972.7,0.64511,2.07942,1.15522,1.19251,0,0.64634,0.64931,0.65856,0.50696,0.643,0.63501,0.64243,0.46133,0.79994,2.30389,1.21944,1.01522,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11755.8,0.64566,2.0726,1.15432,1.1914,0,0.64599,0.65203,0.6592,0.50734,0.64267,0.63718,0.64294,0.46168,0.79913,2.30385,1.21701,1.01435,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12538.9,0.64314,2.07464,1.15352,1.19085,0,0.64791,0.65123,0.65971,0.5079,0.64201,0.63959,0.6432,0.46195,0.79757,2.30118,1.21437,1.01311,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13322.7,0.64052,2.06226,1.15027,1.18915,0,0.6432,0.65627,0.66059,0.50865,0.63949,0.64108,0.644,0.46291,0.7972,2.29976,1.21298,1.01233,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14105.8,0.64256,2.06227,1.14682,1.19005,0,0.64508,0.66037,0.66191,0.5098,0.63868,0.64655,0.64548,0.46385,0.79633,2.29815,1.21149,1.01108,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14889.1,0.6416,2.0631,1.14367,1.18968,0,0.64691,0.66216,0.6627,0.51096,0.64054,0.64812,0.64586,0.46459,0.79452,2.29697,1.20872,1.00967,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15671.8,0.64234,2.05896,1.14483,1.18993,0,0.64824,0.65873,0.66315,0.51161,0.64061,0.64507,0.64621,0.46515,0.79382,2.29404,1.20712,1.00944,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,16455.5,0.63649,2.04581,1.13637,1.18647,0,0.64896,0.65907,0.66335,0.51236,0.64269,0.64368,0.6462,0.46574,0.79406,2.29195,1.20618,1.00986,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17238.4,0.6397,2.05096,1.13665,1.18779,0,0.6515,0.65698,0.66433,0.51294,0.64629,0.64168,0.64714,0.46655,0.79323,2.2886,1.20448,1.0089,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18021.7,0.63737,2.04874,1.13712,1.18752,0,0.65139,0.65773,0.6647,0.513,0.64318,0.64599,0.64764,0.467,0.79282,2.28557,1.20262,1.00836,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18805.4,0.63456,2.03307,1.12955,1.18542,0,0.64802,0.66125,0.6658,0.51427,0.64521,0.64571,0.64864,0.4679,0.79219,2.28128,1.20078,1.0081,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19588.3,0.63274,2.02978,1.13119,1.18423,0,0.64959,0.65907,0.66639,0.51483,0.64595,0.64619,0.64957,0.46833,0.79124,2.27867,1.19987,1.00761,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,20371.8,0.63326,2.03177,1.12818,1.18388,0,0.65157,0.65942,0.66698,0.51536,0.64771,0.64421,0.64999,0.46916,0.79121,2.27752,1.20032,1.00775,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,21155.3,0.63377,2.03041,1.12523,1.18406,0,0.65416,0.65793,0.66844,0.51582,0.64834,0.64422,0.65094,0.47019,0.79074,2.27511,1.19751,1.00712,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,21938,0.63248,2.02866,1.11983,1.18365,0,0.65757,0.65749,0.66884,0.51631,0.65592,0.63673,0.65117,0.47002,0.78957,2.27451,1.19608,1.00585,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,22721.6,0.62908,2.00901,1.11566,1.18086,0,0.65414,0.65847,0.6698,0.51773,0.65154,0.64131,0.65216,0.47087,0.78876,2.27213,1.19519,1.00538,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,23505.4,0.62782,2.01003,1.11237,1.18067,0,0.65203,0.66298,0.67028,0.51814,0.64821,0.64553,0.65247,0.47119,0.78722,2.26953,1.19319,1.00363,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
